order_id,user_id,restaurant_id,address_id,voucher_id,total_price,status,created_at
1,2,20,2,,40000.0,COMPLETED,2026-03-16 16:20:07
2,5,7,6,,132000.0,PENDING,2026-06-02 03:56:07
3,8,41,10,,12000.0,PENDING,2026-04-22 05:30:07
4,10,8,13,,15000.0,PENDING,2026-04-19 13:03:07
5,12,9,15,,15000.0,CONFIRMED,2026-04-02 03:28:07
6,14,46,18,,210000.0,PENDING,2026-05-08 17:29:07
7,15,18,21,,86000.0,PREPARING,2026-04-27 21:08:07
8,20,23,27,,169000.0,PENDING,2026-03-24 06:03:07
9,24,46,33,,38000.0,CONFIRMED,2026-05-20 02:50:07
10,28,37,37,,182000.0,PENDING,2026-04-11 17:41:07
11,30,21,41,,105000.0,PENDING,2026-04-23 18:14:07
12,32,24,43,,40000.0,PENDING,2026-04-27 14:44:07
13,33,18,44,,360000.0,PREPARING,2026-03-12 01:43:07
14,38,16,51,,75000.0,PENDING,2026-05-08 02:08:07
15,40,49,56,,50000.0,CANCELLED,2026-03-17 00:48:07
16,42,37,58,4.0,58500.0,PENDING,2026-06-01 01:18:07
17,44,23,61,,194000.0,DELIVERING,2026-04-11 10:42:07
18,46,34,63,2.0,15000.0,COMPLETED,2026-03-23 08:45:07
19,49,46,67,,120000.0,CONFIRMED,2026-05-14 10:38:07
20,53,40,74,,94000.0,PENDING,2026-04-07 13:00:07
21,55,5,76,,20000.0,CONFIRMED,2026-05-04 01:53:07
22,55,44,76,,105000.0,CONFIRMED,2026-04-20 23:44:07
23,57,20,80,,172000.0,PREPARING,2026-03-07 03:37:07
24,58,25,81,,165000.0,PREPARING,2026-03-07 06:07:07
25,60,23,84,1.0,400000.0,DELIVERING,2026-06-03 02:58:07
26,60,8,84,,56000.0,PENDING,2026-05-18 05:04:07
27,61,50,85,,110000.0,PENDING,2026-04-20 09:09:07
28,63,17,87,,30000.0,COMPLETED,2026-05-17 19:11:07
29,65,20,90,19.0,243750.0,CONFIRMED,2026-04-11 02:34:07
30,67,6,92,,77000.0,PENDING,2026-03-11 16:31:07
31,70,7,96,,80000.0,PREPARING,2026-03-24 17:29:07
32,70,41,95,,140000.0,PENDING,2026-03-19 13:27:07
33,72,29,98,4.0,213300.0,CONFIRMED,2026-03-15 16:49:07
34,74,45,100,,415000.0,CONFIRMED,2026-04-11 12:59:07
35,76,3,102,12.0,41250.0,PREPARING,2026-04-01 10:38:07
36,78,23,104,,40000.0,PENDING,2026-04-04 21:18:07
37,79,34,105,11.0,76000.0,DELIVERING,2026-04-01 19:30:07
38,80,47,106,6.0,299200.0,PREPARING,2026-06-01 11:40:07
39,82,36,108,,252000.0,PENDING,2026-05-18 16:37:07
40,85,47,113,,90000.0,COMPLETED,2026-04-09 03:20:07
